국가,확진자,치료중,사망자,완치,치명(%),완치(%),발생률,인구수
아르메니아,"224,253","3,642","4,499","216,112",2.0,96.4,"75,678","2,963,243"
자메이카,"49,712
(+44)","19,885
(-130)","1,034
(+1)","28,793
(+173)",2.1,57.9,"16,788","2,961,167"
카타르,"220,930","1,912",583,"218,435",0.3,98.9,"76,684","2,881,053"
알바니아,"132,491
(+1)","107
(-11)","2,455
(+1)","129,929
(+11)",1.9,98.1,"46,039","2,877,797"
리투아니아,"278,407","8,407","4,367","265,633",1.6,95.4,"102,269","2,722,289"
나미비아,"75,766
(+1,084)","14,103
(+261)","1,179
(+15)","60,484
(+808)",1.6,79.8,"29,819","2,540,905"
감비아,"6,045
(+21)","27
(+11)",181,"5,837
(+10)",3.0,96.6,"2,501","2,416,668"
보츠와나,"65,808
(+2,561)","5,123
(+1,357)","1,069
(+129)","59,616
(+1,075)",1.6,90.6,"27,984","2,351,627"
가봉,"24,864",442,158,"24,264",0.6,97.6,"11,171","2,225,734"
레소토,"11,107
(+26)","4,333
(+26)",329,"6,445",3.0,58.0,"5,185","2,142,249"
북마케도니아,"155,627",273,"5,477","149,877",3.5,96.3,"74,700","2,083,374"
슬로베니아,"257,001","1,562","4,415","251,024",1.7,97.7,"123,621","2,078,938"
기니비사우,"3,825",198,69,"3,558",1.8,93.0,"1,944","1,968,001"
라트비아,"136,850","1,633","2,496","132,721",1.8,97.0,"72,553","1,886,198"
코소보,"107,247",-34,"2,256","105,025",2.1,97.9,"59,237","1,810,463"
바레인,"263,295
(+403)","7,071
(-605)","1,311
(+5)","254,913
(+1,003)",0.5,96.8,"154,736","1,701,575"
적도 기니,"8,708
(+10)","99
(+10)",120,"8,489",1.4,97.5,"6,207","1,402,985"
트리니다드 토바고,"30,767
(+148)","8,148
(-126)","747
(+10)","21,872
(+264)",2.4,71.1,"21,984","1,399,488"
에스토니아,"130,818","2,854","1,268","126,696",1.0,96.8,"98,616","1,326,535"
동티모르,"8,728","1,042",19,"7,667",0.2,87.8,"6,620","1,318,445"
모리셔스,"1,701",418,18,"1,265",1.1,74.4,"1,338","1,271,768"
키프로스,"73,710
(+67)","1,253
(-27)",374,"72,083
(+94)",0.5,97.8,"61,051","1,207,359"
에스와티니,"18,831
(+18)","115
(-4)",677,"18,039
(+22)",3.6,95.8,"16,231","1,160,164"
지부티,"11,591
(+4)",5,155,"11,431
(+4)",1.3,98.6,"11,732","988,000"
피지,"2,090","1,551",7,532,0.3,25.5,"2,331","896,445"
레위니옹,"28,441","1,888",220,"26,333",0.8,92.6,"31,767","895,312"
코모로,"3,912
(+4)","21
(+4)",146,"3,745",3.7,95.7,"4,499","869,601"
가이아나,"19,144
(+48)","1,520
(-56)","449
(+2)","17,175
(+102)",2.3,89.7,"24,339","786,552"
부탄,"1,939
(+15)","253
(+6)",1,"1,685
(+9)",0.1,86.9,"2,513","771,608"
솔로몬 제도,20,0,0,20,-,100,29,"686,884"
마카오,53,2,0,51,-,96.2,82,"649,335"
몬테네그로,"100,092
(+17)","298
(-5)","1,605","98,189
(+22)",1.6,98.1,"159,365","628,066"
룩셈부르크,"70,535
(+19)","258
(-146)",818,"69,459
(+165)",1.2,98.5,"112,680","625,978"
서사하라,10,1,1,8,10,80,17,"597,339"
수리남,"20,141
(+116)","4,250
(+8)","467
(+7)","15,424
(+101)",2.3,76.6,"34,333","586,632"
카보베르데,"32,039
(+37)","665
(-66)",283,"31,091
(+103)",0.9,97.0,"57,625","555,987"
몰디브,"72,149
(+253)","4,795
(-516)",206,"67,148
(+769)",0.3,93.1,"133,475","540,544"
몰타 공화국,"30,590",23,420,"30,147",1.4,98.6,"69,280","441,543"
브루나이,255,8,3,244,1.2,95.7,583,"437,479"
과들루프,"16,752","14,273",229,"2,250",1.4,13.4,"41,867","400,124"
벨리즈,"13,039
(+35)","142
(+17)","329
(+1)","12,568
(+17)",2.5,96.4,"32,792","397,628"
바하마,"12,364
(+69)","799
(-25)","243
(+2)","11,322
(+92)",2.0,91.6,"31,441","393,244"
마르티니크,"12,178","11,982",98,98,0.8,0.8,"32,452","375,265"
아이슬란드,"6,630
(+3)","24
(+3)",30,"6,576",0.5,99.2,"19,429","341,243"
